window_id,sequence_label,sequence_family,start_index,end_index,frame_count,status,mean_coverage_percent,mean_soft_alpha_percent,raw_total_keypoints,masked_total_keypoints,total_keypoint_delta,raw_region_keypoints,masked_region_keypoints,region_keypoint_delta,droid_16f_neutral,droid_16f_delta_ape,droid_16f_delta_rpe,droid_60f_neutral,droid_60f_delta_ape,droid_60f_delta_rpe
aisle_cw_0240_0299,"Oct. 12, 2022 Aisle_CW",same_sequence_new_window,240,299,60,orb_proxy_down_droid16_neutral_droid60_checked,8.624665,3.400262,60000,60000,0,218,41,-177,True,3.399999999999931e-05,2.0000000000006124e-05,True,0.0002009999999999998,2.9999999999891225e-06
aisle_cw_0660_0719,"Oct. 12, 2022 Aisle_CW",same_sequence_new_window,660,719,60,orb_proxy_down_droid16_neutral,8.699826,3.441886,60000,60000,0,41,0,-41,True,-1.2000000000012001e-05,-7.000000000007001e-06,,,
aisle_cw_0960_1019,"Oct. 12, 2022 Aisle_CW",same_sequence_new_window,960,1019,60,orb_proxy_down_droid16_neutral,10.053378,3.973758,60000,60000,0,27,0,-27,True,-8.999999999998592e-06,0.0,,,
aisle_ccw_0240_0299,"Oct. 12, 2022 Aisle_CCW",nearby_different_sequence,240,299,60,orb_proxy_down_droid16_neutral,10.0,3.960283,60000,60000,0,81,4,-77,True,-3.0000000000030003e-06,-9.000000000002062e-06,,,
