sample_id,split,raw_keypoints_total,masked_keypoints_total,total_keypoint_delta,total_keypoint_reduction_rate,raw_keypoints_in_gt_dynamic,masked_keypoints_in_gt_dynamic,gt_dynamic_keypoint_delta,gt_dynamic_keypoint_reduction_rate
000000904_image-0,val,1782,1319,-463,0.25982042648709314,1203,485,-718,0.5968412302576891
000000904_image-1,val,2000,1989,-11,0.0055,646,118,-528,0.8173374613003096
000000904_image-2,val,1906,1527,-379,0.19884575026232948,1275,588,-687,0.5388235294117647
000000900_image-0,test,1785,1484,-301,0.16862745098039217,705,539,-166,0.23546099290780143
000000900_image-1,test,1236,2000,764,-0.6181229773462783,482,4,-478,0.991701244813278
000000900_image-2,test,1350,1653,303,-0.22444444444444445,484,458,-26,0.05371900826446281
